Address,Transactions,Year,Month,List Price,Sold Price,Sold/List Ratio,Property Type,SqFt,Beds,Baths
"144 Riverside Circle Southeast, Calgary ",1,2024,August,"$719,900","$731,500",102%,House,"1,865",4,3
"#3 3512 15 Street Southwest, Calgary ",1,2024,August,"$879,000","$864,000",98%,Not Applicable,"1,547",4,3
"2122 Broadview Road Northwest, Calgary ",1,2024,October,"$799,900","$742,000",93%,House,"1,872",3,2
"1211 Bantry Street Northeast, Calgary ",1,2024,November,"$700,000","$665,000",95%,House,"1,040",4,2
"1312 22 Street Northwest, Calgary ",1,2024,December,"$2,749,900","$2,725,000",99%,House,"3,643",5,4
"60 Brae Glen Lane Southwest, Calgary ",1,2024,August,"$425,000","$420,000",99%,Not Applicable,"1,419",3,3
"2528 Charlebois Drive Northwest, Calgary ",1,2024,August,"$949,900","$1,021,000",107%,House,"1,410",4,2
"1331 Hamilton Street Northwest, Calgary ",1,2024,August,"$825,000","$810,000",98%,House,"1,120",4,2
"9 Corner Meadows Grove Northeast, Calgary ",1,2024,August,"$899,900","$883,000",98%,House,"2,340",7,4
"10 Panamount Mews Northwest, Calgary ",1,2024,October,"$699,888","$660,000",94%,House,"1,843",4,3
"95 Evercreek Bluffs Road Southwest, Calgary ",1,2024,August,"$974,900","$974,900",100%,House,"1,709",3,2
"#313 5115 Richard Road Southwest, Calgary ",1,2024,August,"$250,000","$248,000",99%,High Rise Apartment,573,1,1
"30 Everhollow Rise Southwest, Calgary ",1,2024,October,"$880,000","$845,000",96%,House,"2,620",4,3
"141 Corner Meadows Gate Northeast, Calgary ",1,2024,October,"$614,000","$603,000",98%,Half Duplex,"1,593",3,3
"#2114 4975 130 Avenue Southeast, Calgary ",1,2024,September,"$319,900","$318,900",100%,High Rise Apartment,843,2,2
"#2209 220 Seton Grove Southeast, Calgary ",1,2024,September,"$379,900","$374,900",99%,High Rise Apartment,835,2,2
"#2318 681 Savanna Boulevard Northeast, Calgary ",1,2024,September,"$380,000","$378,000",99%,High Rise Apartment,817,2,2
"144 Wolf Hollow Crescent Southeast, Calgary ",1,2024,September,"$859,900","$854,000",99%,House,"2,212",4,3
"355 Coventry Road Northeast, Calgary ",1,2024,October,"$569,900","$540,000",95%,House,949,4,2
"#1601 111 Tarawood Lane Northeast, Calgary ",1,2024,October,"$375,000","$367,000",98%,Not Applicable,"1,137",3,1
"#2102 8 Bridlecrest Drive Southwest, Calgary ",1,2024,September,"$334,900","$340,000",102%,High Rise Apartment,992,2,2
"49 Edgeland Close Northwest, Calgary ",1,2024,September,"$535,000","$500,000",93%,House,"1,629",3,3
"511 Silverado Skies Common Southwest, Calgary ",1,2024,November,"$449,000","$447,000",100%,Not Applicable,"1,352",3,2
"#5212 200 Seton Circle Southeast, Calgary ",1,2025,January,"$355,000","$335,000",94%,High Rise Apartment,700,2,2
"#403 370 Dieppe Drive Southwest, Calgary ",1,2024,October,"$569,025","$569,025",100%,High Rise Apartment,962,2,2
"#504 370 Dieppe Drive Southwest, Calgary ",1,2024,October,"$552,900","$552,900",100%,High Rise Apartment,897,2,2
"256 Castleridge Drive Northeast, Calgary ",1,2024,October,"$649,900","$615,000",95%,House,"1,048",6,4
"#2113 16969 24 Street Southwest, Calgary ",1,2024,October,"$315,000","$305,000",97%,High Rise Apartment,861,2,2
"#305 1323 15 Avenue Southwest, Calgary ",1,2024,August,"$269,900","$268,500",99%,High Rise Apartment,882,2,1
"#11 6440 4 Street Northwest, Calgary ",1,2024,August,"$325,000","$330,000",102%,Not Applicable,850,2,1
"333 Quarry Green Southeast, Calgary ",1,2024,September,"$1,200,000","$1,125,000",94%,House,"2,815",5,3
"#2207 2600 66 Street Northeast, Calgary ",1,2024,August,"$279,900","$270,000",96%,High Rise Apartment,"1,206",2,2
"3416 Dover Ridge Drive Southeast, Calgary ",1,2024,October,"$399,900","$399,900",100%,House,603,3,1
"102 Copperstone Villas Southeast, Calgary ",1,2024,August,"$449,900","$449,900",100%,Not Applicable,"1,321",2,2
"4424 3 Street Northeast, Calgary ",1,2024,December,"$600,000","$580,000",97%,House,"1,601",3,2
"473 Carringvue Avenue Northwest, Calgary ",1,2024,August,"$639,000","$627,000",98%,Half Duplex,"1,697",3,2
"88 Tuscany Way Northwest, Calgary ",1,2024,September,"$679,900","$680,000",100%,House,"1,624",3,2
"355 Hawkstone Close Northwest, Calgary ",1,2024,August,"$749,800","$766,000",102%,House,"1,959",4,2
"6023 Lakeview Drive, Calgary ",1,2024,September,"$749,900","$740,000",99%,House,976,4,2
"#912 11010 Bonaventure Drive Southeast, Calgary ",1,2024,August,"$255,000","$258,000",101%,Not Applicable,832,3,1
"3804 13 Street Southwest, Calgary ",1,2024,August,"$1,485,000","$1,425,000",96%,House,"2,281",5,4
"212 Templewood Road Northeast, Calgary ",1,2024,September,"$699,900","$700,000",100%,House,"2,002",5,3
"445 Marsh Road Northeast, Calgary ",1,2024,October,"$714,000","$699,000",98%,House,"1,328",3,3
"#2208 681 Savanna Boulevard Northeast, Calgary ",1,2024,August,"$379,900","$372,000",98%,High Rise Apartment,813,2,2
"152 Del Ray Road Northeast, Calgary ",1,2024,September,"$599,999","$599,999",100%,House,"1,415",3,3
"76 Riverbirch Crescent Southeast, Calgary ",1,2024,August,"$475,000","$477,500",101%,House,"1,085",3,1
"32 Millpark Way Southwest, Calgary ",1,2024,August,"$699,900","$690,000",99%,House,"1,787",3,2
"#420 323 20 Avenue, Calgary ",1,2024,October,"$308,999","$300,000",97%,High Rise Apartment,483,1,1
"#103 562 Seton Circle Southeast, Calgary ",1,2024,September,"$511,400","$511,400",100%,Not Applicable,"1,495",3,2
"#104 218 Sherwood Square Northwest, Calgary ",1,2024,October,"$509,800","$492,500",97%,Not Applicable,"1,388",3,2
"2041 33 Street Southeast, Calgary ",1,2024,September,"$499,900","$476,000",95%,House,"1,042",4,2
"1125 Maggie Street Southeast, Calgary ",1,2024,November,"$849,000","$825,000",97%,House,"1,358",4,2
"#28 5400 Dalhousie Drive Northwest, Calgary ",1,2024,August,"$540,000","$525,000",97%,Not Applicable,"1,756",3,2
"2131 Westmount Road Northwest, Calgary ",1,2024,December,"$899,000","$870,000",97%,House,"1,288",5,3
"940 Sherwood Boulevard Northwest, Calgary ",1,2025,January,"$489,900","$472,000",96%,Not Applicable,"1,579",3,2
"4243 Gloucester Drive Southwest, Calgary ",1,2024,August,"$950,000","$1,000,000",105%,House,"1,216",4,3
"256 Mckinnon Place Northeast, Calgary ",1,2024,August,"$630,000","$600,000",95%,House,"1,367",4,3
"#4 2208 29 Street Southwest, Calgary ",1,2024,September,"$399,900","$388,000",97%,House,"1,272",2,2
"182 Templevale Road Northeast, Calgary ",1,2024,August,"$470,000","$460,000",98%,House,770,3,1
"606 Southland Green, Calgary ",1,2024,September,"$549,000","$549,000",100%,Half Duplex,"1,007",4,3
"#215 1507 Centre A Street Northeast, Calgary ",1,2024,October,"$299,900","$298,000",99%,High Rise Apartment,746,2,2
"131 Tarawood Grove, Calgary ",1,2024,September,"$675,000","$659,450",98%,House,"1,795",4,3
"140 Hidden Hills Place Northwest, Calgary ",1,2024,August,"$539,900","$555,000",103%,House,"1,183",3,1
"19 Country Village Circle Northeast, Calgary ",1,2024,August,"$449,900","$447,000",99%,Not Applicable,"1,221",3,1
"15 Huxley Place Southwest, Calgary ",1,2024,October,"$879,900","$845,000",96%,House,"1,385",4,2
"268 Panatella Drive Northwest, Calgary ",1,2024,September,"$549,900","$540,000",98%,Half Duplex,"1,370",3,2
"440 Mckerrell Place Southeast, Calgary ",1,2024,September,"$699,900","$672,725",96%,House,"2,075",5,3
"212 EDGEBROOK Gardens Northwest, Calgary ",1,2024,October,"$1,098,000","$999,999",91%,House,"2,722",6,4
"9115 Academy Drive Southeast, Calgary ",1,2024,August,"$599,900","$595,000",99%,House,"1,026",5,2
"242 Sage Meadows Green Northwest, Calgary ",1,2024,August,"$1,099,900","$1,110,000",101%,House,"2,689",4,4
"#207 3000 Citadel Meadow Point Northwest, Calgary ",1,2024,September,"$245,000","$235,000",96%,High Rise Apartment,716,1,1
"#301 335 Creekside Boulevard Southwest, Calgary ",1,2024,August,"$529,900","$529,900",100%,Not Applicable,"1,675",4,2
"101 RANCH Glen Place Northwest, Calgary ",1,2024,August,"$499,900","$517,500",104%,Half Duplex,900,3,2
"#1008 1140 15 Avenue Southwest, Calgary ",1,2024,September,"$379,900","$377,000",99%,High Rise Apartment,"1,219",2,2
"#511 1053 10 Street Southwest, Calgary ",1,2024,August,"$379,900","$367,500",97%,High Rise Apartment,783,2,2
"1814 3 Street Northwest, Calgary ",1,2024,September,"$528,000","$515,000",98%,House,970,3,1
"204 44 Street Northeast, Calgary ",1,2024,September,"$559,900","$560,000",100%,House,"1,052",4,2
"#506 30 Brentwood Common Northwest, Calgary ",1,2024,August,"$274,900","$274,900",100%,High Rise Apartment,438,1,1
"313 Ambleton Drive Northwest, Calgary ",1,2024,October,"$619,900","$619,900",100%,House,"1,450",3,2
"123 Heirloom Drive Southeast, Calgary ",1,2024,December,"$599,900","$599,900",100%,House,"1,535",4,3
"509 Skyview Ranch Grove Northeast, Calgary ",1,2024,October,"$399,990","$395,000",99%,Not Applicable,"1,282",2,2
"240 Los Alamos Place Northeast, Calgary ",1,2024,October,"$674,900","$674,000",100%,House,"1,200",4,
"446 Sherwood Place Northwest, Calgary ",1,2025,January,"$729,777","$720,000",99%,House,"1,882",3,2
"#301 180 Marina Cove Southeast, Calgary ",1,2024,December,"$2,094,900","$2,179,595",104%,High Rise Apartment,"1,885",2,2
"7063 Silverview Drive Northwest, Calgary ",1,2024,October,"$949,900","$917,500",97%,House,"1,350",3,2
"28 Country Hills Cove Northwest, Calgary ",1,2024,October,"$435,000","$426,500",98%,Not Applicable,"1,362",3,1
"17 Silverado Drive Southwest, Calgary ",1,2024,November,"$499,900","$485,000",97%,Not Applicable,"1,188",3,1
"95 Homestead Park Northeast, Calgary ",1,2024,October,"$714,900","$710,000",99%,Half Duplex,"1,679",6,4
"#1208 8810 Royal Birch Boulevard Northwest, Calgary ",1,2024,September,"$345,000","$335,000",97%,High Rise Apartment,858,2,2
"189 Everridge Way Southwest, Calgary ",1,2024,September,"$645,000","$627,000",97%,House,"1,327",4,2
"43 Herron Rise Northeast, Calgary ",1,2024,October,"$834,900","$822,500",99%,House,"2,230",4,3
"1669 Cornerstone Boulevard, Calgary ",1,2024,September,"$529,000","$512,000",97%,Not Applicable,"1,346",3,2
"10 Tuscany Meadows Drive Northwest, Calgary ",1,2024,December,"$715,000","$700,000",98%,House,"1,637",4,3
"41 Howse Mount Northeast, Calgary ",1,2024,October,"$859,900","$840,000",98%,House,"2,334",5,3
"34 Country Village Landing Northeast, Calgary ",1,2024,September,"$448,000","$442,000",99%,Not Applicable,"1,101",2,2
"#201 180 Marina Cove Southeast, Calgary ",1,2025,January,"$1,889,900","$1,889,900",100%,High Rise Apartment,"1,884",2,2
"70 Yorkstone Heath Southwest, Calgary ",1,2024,October,"$780,000","$765,000",98%,House,"2,090",4,3
"261 Edith Road Northwest, Calgary ",1,2024,November,"$756,900","$756,900",100%,House,"1,884",3,2
"367 Sora Boulevard Southeast, Calgary ",1,2024,November,"$549,900","$545,000",99%,Half Duplex,"1,291",3,2
"100 Sherwood Square Northwest, Calgary ",1,2024,August,"$724,777","$710,000",98%,House,"1,861",3,2
"153 Mahogany Drive Southeast, Calgary ",1,2024,August,"$580,000","$579,000",100%,Not Applicable,"1,226",3,3
"274 Evanscreek Court Northwest, Calgary ",1,2024,August,"$849,900","$870,000",102%,House,"2,149",4,3
"461 Cranford Drive Southeast, Calgary ",1,2024,September,"$729,998","$728,698",100%,House,"2,344",5,3
"#102 820 15 Avenue Southwest, Calgary ",1,2024,December,"$329,000","$327,000",99%,High Rise Apartment,"1,028",2,2
"12919 Candle Crescent Southwest, Calgary ",1,2024,September,"$1,699,900","$1,600,000",94%,House,"3,614",4,3
"48 Skyview Shores Rise Northeast, Calgary ",1,2024,August,"$689,900","$687,000",100%,House,"2,050",3,2
"145 Howse Avenue Northeast, Calgary ",1,2024,October,"$699,900","$708,000",101%,House,"1,842",4,3
"22 Tuscany Hills Road Northwest, Calgary ",1,2024,October,"$779,500","$765,000",98%,House,"1,960",3,2
"#208 119 19 Street Northwest, Calgary ",1,2024,August,"$567,900","$555,000",98%,High Rise Apartment,980,2,2
"79 Tararidge Place Northeast, Calgary ",1,2024,August,"$675,000","$650,000",96%,House,"1,678",4,2
"2538 Catalina Boulevard Northeast, Calgary ",1,2024,October,"$759,900","$750,000",99%,House,"2,071",5,3
"14648 Deer Run Drive Southeast, Calgary ",1,2024,August,"$500,000","$490,000",98%,Half Duplex,"1,010",3,1
"#314 950 Arbour Lake Road Northwest, Calgary ",1,2024,August,"$429,900","$424,000",99%,Not Applicable,"1,286",3,1
"56 Laguna Close Northeast, Calgary ",1,2024,October,"$480,000","$450,000",94%,House,960,3,2
"21 Amblefield Passage Northwest, Calgary ",1,2024,September,"$624,800","$616,000",99%,House,"1,375",3,2
"#201 2611 15A Street Southwest, Calgary ",1,2024,August,"$165,000","$177,000",107%,High Rise Apartment,489,1,1
"163 Panatella Cape Northwest, Calgary ",1,2024,August,"$864,900","$855,000",99%,House,"2,476",3,2
"30 Country Village Landing Northeast, Calgary ",1,2024,December,"$499,999","$488,000",98%,Not Applicable,"1,324",4,3
"100 Tuscany Ridge Crescent Northwest, Calgary ",1,2024,August,"$825,000","$810,000",98%,House,"2,037",3,3
"70 Legacy Reach Bay Southeast, Calgary ",1,2024,October,"$618,800","$618,800",100%,House,"1,755",3,2
"#3308 450 Kincora Glen Road Northwest, Calgary ",1,2024,August,"$420,000","$410,000",98%,High Rise Apartment,997,2,2
"235 Cityside Road Northeast, Calgary ",1,2024,October,"$809,000","$799,000",99%,House,"2,392",4,3
"#1703 3500 Varsity Drive Northwest, Calgary ",1,2024,August,"$329,900","$325,250",99%,Not Applicable,"1,135",2,1
"4719 Chapel Road Northwest, Calgary ",1,2024,September,"$875,000","$800,000",91%,House,"1,393",3,1
"#201 510 58 Avenue Southwest, Calgary ",1,2024,August,"$279,900","$274,000",98%,High Rise Apartment,834,2,1
"304 Hotchkiss Drive Southeast, Calgary ",1,2024,September,"$719,900","$710,000",99%,House,"1,803",6,4
"#204 5404 10 Avenue Southeast, Calgary ",1,2024,August,"$269,000","$268,000",100%,Not Applicable,985,2,1
"2413 29 Avenue Southwest, Calgary ",1,2024,August,"$1,095,000","$1,070,000",98%,Half Duplex,"2,039",4,3
"92 Fyffe Road, Calgary ",1,2024,August,"$585,000","$611,000",104%,House,"1,058",5,2
"86 New Brighton Green Southeast, Calgary ",1,2024,September,"$555,000","$545,000",98%,House,"1,451",3,2
"1527 51 Street Southeast, Calgary ",1,2024,August,"$525,000","$495,000",94%,House,"1,082",3,1
"#3306 16969 24 Street Southwest, Calgary ",1,2024,August,"$329,990","$330,000",100%,High Rise Apartment,846,2,2
"55 Douglas Glen Place Southeast, Calgary ",1,2024,August,"$749,999","$745,000",99%,House,"2,367",3,2
"448 Astoria Crescent Southeast, Calgary ",1,2024,August,"$598,000","$635,000",106%,House,"1,069",4,1
"#204 1235 13 Avenue Southwest, Calgary ",1,2024,September,"$309,900","$292,500",94%,High Rise Apartment,732,2,2
"328 Silverado Common Southwest, Calgary ",1,2024,September,"$429,500","$429,000",100%,Not Applicable,"1,308",2,1
"108 Pineland Place Northeast, Calgary ",1,2024,August,"$499,900","$482,500",97%,House,"1,079",3,2
"#104 881 Sage Valley Boulevard Northwest, Calgary ",1,2024,October,"$479,000","$476,500",99%,Not Applicable,"1,269",3,2
"79 SOMERSET Square Southwest, Calgary ",1,2024,August,"$625,000","$647,500",104%,House,965,3,2
"212 Lucas Common Northwest, Calgary ",1,2024,September,"$747,000","$755,000",101%,House,"1,988",5,4
"51 Carrington Crescent Northwest, Calgary ",1,2024,December,"$999,900","$996,000",100%,House,"2,739",6,3
"1845 CORNERSTONE Boulevard Northeast, Calgary ",1,2024,August,"$599,900","$592,500",99%,Half Duplex,"1,572",3,2
"319 Homestead Drive Northeast, Calgary ",1,2025,January,"$570,550","$555,000",97%,Half Duplex,"1,561",3,2
"246 Riverview Park Southeast, Calgary ",1,2024,August,"$750,000","$750,000",100%,House,"1,709",3,1
"2851 Catalina Boulevard Northeast, Calgary ",1,2024,September,"$639,900","$620,000",97%,House,"1,270",4,3
"#1114 681 Savanna Boulevard Northeast, Calgary ",1,2024,September,"$399,999","$390,000",98%,High Rise Apartment,862,2,2
"212 Homestead Drive Northeast, Calgary ",1,2024,October,"$625,000","$615,000",98%,House,"1,741",4,3
"#407 125 Wolf Hollow Crescent Southeast, Calgary ",1,2024,August,"$314,895","$314,895",100%,High Rise Apartment,506,1,1
"2708 16A Street Southeast, Calgary ",1,2024,September,"$599,900","$599,900",100%,House,820,1,2
"64 WHITEHAVEN Road Northeast, Calgary ",1,2024,September,"$584,900","$557,000",95%,House,944,5,2
"85 Yorkville Boulevard Southwest, Calgary ",1,2024,October,"$519,900","$530,000",102%,Not Applicable,"1,489",3,2
"922 33A Street Northwest, Calgary ",1,2024,December,"$1,349,900","$1,310,000",97%,House,"1,925",4,3
"#5111 522 Cranford Drive Southeast, Calgary ",1,2024,September,"$325,000","$335,000",103%,High Rise Apartment,883,2,2
"128 Rivercroft Close Southeast, Calgary ",1,2024,August,"$769,900","$772,500",100%,House,"1,760",3,2
"31 Shannon Drive Southwest, Calgary ",1,2024,August,"$699,000","$709,000",101%,House,"1,870",3,3
"6 Cedarwood Rise Southwest, Calgary ",1,2024,August,"$439,900","$425,000",97%,Half Duplex,"1,200",4,1
"1140 Varsity Estates Drive Northwest, Calgary ",1,2024,August,"$1,735,000","$1,660,000",96%,House,"3,027",6,3
"79 Bridlewood Avenue Southwest, Calgary ",1,2024,August,"$549,999","$545,000",99%,House,"1,254",3,1
"55 Mahogany Rise Southeast, Calgary ",1,2024,November,"$824,900","$815,000",99%,House,"2,549",5,3
"#1607 788 12 Avenue Southwest, Calgary ",1,2024,August,"$427,500","$406,000",95%,High Rise Apartment,799,2,2
"#1202 650 10 Street Southwest, Calgary ",1,2024,August,"$384,900","$380,000",99%,High Rise Apartment,837,2,2
"1516 137 Avenue Southeast, Calgary ",1,2024,August,"$499,000","$550,000",110%,House,"1,095",3,1
"#113 1415 17 Street Southeast, Calgary ",1,2024,September,"$379,900","$365,000",96%,High Rise Apartment,"1,045",2,2
"#519 63 Inglewood Park Southeast, Calgary ",1,2024,September,"$528,000","$530,000",100%,High Rise Apartment,"1,245",2,2
"#7 8020 Silver Springs Road Northwest, Calgary ",1,2024,August,"$519,900","$560,000",108%,Not Applicable,"1,512",2,3
"#41 2323 Oakmoor Drive Southwest, Calgary ",1,2024,September,"$369,000","$355,000",96%,Not Applicable,"1,358",3,3
"3252 33A Avenue Southeast, Calgary ",1,2024,November,"$499,999","$498,500",100%,House,848,4,2
"#2302 19489 Main Street Southeast, Calgary ",1,2024,September,"$469,900","$457,000",97%,High Rise Apartment,"1,078",2,2
"115 Hidden Creek Cove Northwest, Calgary ",1,2024,October,"$499,900","$480,000",96%,Not Applicable,"1,369",3,2
"#112 910 70 Avenue Southwest, Calgary ",1,2024,August,"$420,000","$419,500",100%,High Rise Apartment,"1,325",2,2
"#402 736 57 Avenue Southwest, Calgary ",1,2024,August,"$379,900","$370,000",97%,High Rise Apartment,967,2,2
"168 Copperpond Villas Southeast, Calgary ",1,2024,August,"$460,000","$460,000",100%,Not Applicable,"1,467",3,2
"205 Evansridge Park Northwest, Calgary ",1,2024,October,"$449,900","$440,000",98%,Not Applicable,"1,518",3,2
"#1001 924 14 Avenue Southwest, Calgary ",1,2024,October,"$239,900","$228,800",95%,High Rise Apartment,658,1,1
"3515 2 Avenue Southwest, Calgary ",1,2024,October,"$975,000","$928,000",95%,House,"1,484",3,3
"3008 34 Avenue Southwest, Calgary ",1,2024,August,"$699,900","$699,900",100%,House,"1,112",3,2
"22 Douglasview Park Southeast, Calgary ",1,2024,September,"$599,900","$595,000",99%,Half Duplex,"1,325",2,2
"1809 18 Avenue Northwest, Calgary ",1,2024,October,"$799,900","$730,000",91%,House,"1,235",2,2
"7841 21A Street Southeast, Calgary ",1,2024,August,"$399,999","$405,000",101%,Half Duplex,992,3,1
"3 Autumn Place Southeast, Calgary ",1,2024,August,"$749,000","$775,000",103%,House,"1,786",4,3
"91 Macewan Meadow Way Northwest, Calgary ",1,2024,August,"$625,000","$616,000",99%,House,"1,731",4,4
"12740 Bonaventure Drive Southeast, Calgary ",1,2024,August,"$899,900","$875,000",97%,House,"1,653",3,
"154 Scanlon Hill Northwest, Calgary ",1,2024,September,"$749,900","$744,900",99%,House,"2,068",4,2
"#109 100 Auburn Meadows Common Southeast, Calgary ",1,2024,August,"$299,900","$297,000",99%,High Rise Apartment,561,2,1
"#28 49 Rocky Ridge Gate Northwest, Calgary ",1,2024,August,"$425,000","$420,000",99%,Not Applicable,"1,164",3,2
"#317 1717 60 Street Southeast, Calgary ",1,2024,October,"$279,500","$275,500",99%,High Rise Apartment,"1,015",2,2
"16 Woodford Crescent Southwest, Calgary ",1,2024,August,"$575,000","$602,500",105%,House,"1,246",5,2
"7 Shawmeadows Bay Southwest, Calgary ",1,2024,December,"$525,000","$518,000",99%,House,999,3,2
"185 Royal Abbey Court Northwest, Calgary ",1,2024,August,"$709,900","$692,500",98%,House,"1,880",3,2
"74 Elgin Park Road Southeast, Calgary ",1,2024,November,"$950,000","$940,000",99%,House,"2,655",4,3
"#3 1927 27 Street Southwest, Calgary ",1,2024,October,"$775,000","$760,000",98%,Not Applicable,"1,416",3,3
"706 Wolf Willow Boulevard Southeast, Calgary ",1,2025,January,"$549,900","$545,000",99%,Not Applicable,"1,425",3,2
"903 34 Street Northwest, Calgary ",1,2024,August,"$924,900","$924,900",100%,Half Duplex,"1,701",3,3
"#147 42 Cranbrook Gardens Southeast, Calgary ",1,2024,October,"$549,900","$542,500",99%,Not Applicable,"1,522",3,2
"166 Cityside Common Northeast, Calgary ",1,2024,October,"$689,900","$700,000",101%,House,"1,817",3,2
"143 Whitlock Close Northeast, Calgary ",1,2024,August,"$539,900","$535,000",99%,House,"1,019",4,2
"#425 255 Les Jardins Park Southeast, Calgary ",1,2024,September,"$366,900","$362,948",99%,High Rise Apartment,591,1,1
"#7F 515 17 Avenue Southwest, Calgary ",1,2024,September,"$195,000","$183,500",94%,High Rise Apartment,609,1,1
"22 Hidden Hills Terrace, Calgary ",1,2024,September,"$549,000","$543,000",99%,House,"1,030",3,2
"6816 Silverdale Road Northwest, Calgary ",1,2024,August,"$644,900","$625,000",97%,House,"1,588",3,3
"127 Tuscany Springs Landing Northwest, Calgary ",1,2024,August,"$635,000","$618,000",97%,Half Duplex,"1,839",2,2
"#1108 888 4 Avenue Southwest, Calgary ",1,2024,November,"$464,000","$437,000",94%,High Rise Apartment,"1,067",2,2
"49 Royston Terrace Northwest, Calgary ",1,2024,October,"$819,900","$799,000",97%,House,"2,252",3,2
"1040 Russet Road Northeast, Calgary ",1,2024,September,"$824,900","$777,000",94%,House,"1,240",3,2
"#402 4944 Dalton Drive Northwest, Calgary ",1,2024,September,"$249,900","$247,000",99%,High Rise Apartment,774,2,1
"4404 33 Avenue Southwest, Calgary ",1,2024,September,"$749,000","$734,000",98%,Half Duplex,"1,765",4,3
"#1404 733 14 Avenue Southwest, Calgary ",1,2024,August,"$349,000","$337,000",97%,High Rise Apartment,849,2,1
"#115 2702 17 Avenue Southwest, Calgary ",1,2024,September,"$394,900","$376,000",95%,High Rise Apartment,743,2,2
"242 Copperleaf Way Southeast, Calgary ",1,2024,August,"$460,000","$455,000",99%,Not Applicable,"1,396",2,2
"76 Walcrest Row Southeast, Calgary ",1,2024,August,"$829,900","$820,000",99%,House,"2,379",3,2
"#119 15233 1 Street Southeast, Calgary ",1,2024,August,"$309,990","$305,000",98%,High Rise Apartment,697,2,2
"#1 3806 Parkhill Place Southwest, Calgary ",1,2024,August,"$599,900","$592,500",99%,Half Duplex,"1,452",2,2
"#703 10 Brentwood Common Northwest, Calgary ",1,2024,August,"$314,900","$310,000",98%,High Rise Apartment,498,2,1
"1153 Cranbrook Garden Southeast, Calgary ",1,2024,August,"$798,800","$887,500",111%,House,"2,540",3,2
"#9 206 Village Terrace Southwest, Calgary ",1,2024,August,"$395,000","$378,000",96%,High Rise Apartment,"1,063",2,3
"#103 1815 16 Street Southwest, Calgary ",1,2024,August,"$204,000","$195,000",96%,High Rise Apartment,408,1,1
"#9 148 Rockyledge View Northwest, Calgary ",1,2024,November,"$398,000","$380,000",95%,Not Applicable,904,2,2
"2108 Murphy Road Northeast, Calgary ",1,2024,August,"$615,000","$615,000",100%,House,"1,094",4,2
"#108 635 57 Avenue Southwest, Calgary ",1,2024,August,"$209,000","$205,000",98%,High Rise Apartment,786,2,1
"#238 22 Richard Place Southwest, Calgary ",1,2024,August,"$398,900","$380,000",95%,High Rise Apartment,920,2,2
"35 Falton Drive Northeast, Calgary ",1,2024,August,"$465,000","$465,000",100%,Half Duplex,989,3,2
"1018 Carringnton Boulevard Northwest, Calgary ",1,2024,August,"$619,900","$620,000",100%,Half Duplex,"1,336",3,2
"#75 1055 72 Avenue Northwest, Calgary ",1,2024,November,"$405,888","$400,000",99%,Not Applicable,"1,098",3,1
"#216 500 Rocky Vista Gardens Northwest, Calgary ",1,2025,January,"$279,999","$273,500",98%,High Rise Apartment,682,1,1
"76 New Brighton Landing Southeast, Calgary ",1,2024,September,"$439,900","$432,500",98%,Not Applicable,"1,282",3,2
"20 Nolancrest Green Northwest, Calgary ",1,2024,August,"$699,900","$705,000",101%,House,"2,018",3,3
"#1616 60 Skyview Ranch Road Northeast, Calgary ",1,2024,August,"$369,900","$360,000",97%,High Rise Apartment,727,2,2
"167 Covington Close Northeast, Calgary ",1,2024,October,"$525,000","$542,001",103%,House,"1,139",4,3
"169 Springbank Place Southwest, Calgary ",1,2024,August,"$874,900","$862,750",99%,House,"2,070",4,3
"626 Rangeview Street Southeast, Calgary ",1,2024,August,"$599,900","$589,900",98%,Half Duplex,"1,627",3,2
"135 Mckenzie Towne Drive Southeast, Calgary ",1,2024,August,"$525,000","$525,000",100%,Not Applicable,"1,789",3,2
"#2 130 Discovery Drive Southwest, Calgary ",1,2024,September,"$874,500","$830,000",95%,Not Applicable,"1,715",2,2
"35 Calhoun View Northeast, Calgary ",1,2024,August,"$899,900","$850,000",94%,House,"2,224",5,2
"130 Bergen Road Northwest, Calgary ",1,2024,August,"$599,900","$600,000",100%,Half Duplex,981,5,3
"8320 34 Avenue Northwest, Calgary ",1,2024,August,"$610,000","$565,000",93%,House,862,3,1
"727 78 Avenue Northwest, Calgary ",1,2024,August,"$629,900","$640,000",102%,House,"1,280",3,3
"#4311 1317 27 Street Southeast, Calgary ",1,2024,August,"$261,000","$260,000",100%,High Rise Apartment,571,2,1
"3716 47 Street Southwest, Calgary ",1,2024,August,"$650,000","$650,000",100%,House,"1,068",5,2
"371 Arbour Grove Close Northwest, Calgary ",1,2024,September,"$624,900","$622,000",100%,House,"1,292",3,2
"#117 6919 Elbow Drive Southwest, Calgary ",1,2024,August,"$259,900","$255,000",98%,Not Applicable,"1,004",2,1
"493 Corner Meadows Way Northeast, Calgary ",1,2024,November,"$799,999","$788,000",99%,House,"1,996",6,3
"5632 Dalhousie Drive Northwest, Calgary ",1,2024,August,"$729,900","$725,000",99%,House,"1,768",5,4
"40 Harvest Oak Circle Northeast, Calgary ",1,2024,August,"$425,000","$429,500",101%,House,"1,118",3,2
"1804 Panatella Boulevard Northwest, Calgary ",1,2024,August,"$969,900","$978,000",101%,House,"2,946",5,3
"#414 126 14 Avenue Southwest, Calgary ",1,2024,September,"$359,900","$355,000",99%,High Rise Apartment,885,2,2
